,Features,Coef
0,summit_elev,-0.0003928541794509749
1,vertical_drop,0.0031770329092548986
2,fastSixes,2.719868180874828
3,fastQuads,1.5369181310346212
4,quad,1.7501300377005278
5,triple,1.129580562145721
6,double,0.626177919850218
7,surface,-0.5264710997615157
8,Runs,0.03570922820340828
9,TerrainParks,-0.4663984001572749
10,LongestRun_mi,0.07133991688962381
11,SkiableTerrain_ac,-0.005953962561843075
12,Snow Making_ac,0.0004787697063369128
13,daysOpenLastYear,0.007893066747493432
14,yearsOpen,0.0018640990369964863
15,averageSnowfall,-0.004897092130867199
16,AdultWeekday,0.7381067033773999
17,projectedDaysOpen,0.022336866668533035
18,NightSkiing_ac,0.01026032637252917
19,R2 Score,0.8304935530816254
20,MAE,6.425552612261769
21,Exp Var Score,0.8306980728345931
